bin,0,4,8,12,16,20
TaLHY_7A,234.5566667,189.86,77.91,38.948,21.40733333,41
TaLHY_7B,812.3,392.48,139,69.90333333,32.70433333,73.72
TaLHY_7D,760.8666667,528.2666667,223.4666667,97.25333333,46.16333333,65.12666667
