W6	W5	W9	W8	W7	W1	W2	W3	W4	timepoint
-0.292233930815244	-0.35904369143062	0.365382366934179	0.21960963692864	-0.0846926051691028	0.291222831794262	0.523012599203213	-0.168756055146853	-0.370503493152252	ZT_24
-0.225065460251391	-0.365144146418339	0.136311862737077	-0.12344563860297	-0.189852263640868	0.37185841888508	0.411297357396203	0.141338959485575	-0.250055216906156	ZT_28
0.000652626715348267	-0.0418737902290886	-0.322635044943042	-0.368846199833318	-0.288779355299209	0.071362498754231	-0.147187510108532	0.396888037113672	0.301153783141045	ZT_32
0.308098777325707	0.157225479060154	-0.411430475898863	-0.448210679202266	-0.227139941202828	-0.177073961649777	-0.313745520066707	0.269888624368042	0.405358461605013	ZT_36
0.540909796409234	0.390812916810313	0.0669559511234157	0.210202776237033	0.34443423723546	-0.438798123559374	-0.333988305827459	-0.308490922736537	0.0530762610801812	ZT_40
0.403457415643636	0.104164766019274	0.373925936466269	0.191161806826979	0.504819916600572	-0.433989890876417	-0.157450247866213	-0.481704983121288	-0.318143869824337	ZT_44
-0.0585867661234444	-0.150984039505532	0.433743074481027	0.224283904966251	0.27597331747605	-0.103687571565623	0.238997818630262	-0.383662102431529	-0.404775695445601	ZT_48
-0.374471330118941	-0.346602641866963	-0.00676036842874931	-0.19998876850906	-0.245175025512625	0.38443247451676	0.301676553335962	0.170074742246939	-0.183204773255073	ZT_52
-0.355638799636329	-0.276703433850737	-0.233425466565304	-0.407784904194577	-0.344969771048372	0.371772090201392	0.0980340808950591	0.343327198931801	0.00150729253458854	ZT_56
-0.150817041577617	0.087741331407047	-0.353152003877797	-0.0206434291723514	-0.219098050895017	0.0162376166820758	-0.220659022598498	0.236557242944473	0.342604836255775	ZT_60
0.0982003257146321	0.409698201730694	-0.200048014107305	0.363826981672935	0.109816189433651	-0.168578730783982	-0.284929802950742	-0.00572110277917	0.347346084668846	ZT_64
0.105494386714409	0.390709048273797	0.151132182079094	0.359834512882706	0.36466335202229	-0.184757652398628	-0.11505800004255	-0.209739638875124	0.0756363292979706	ZT_68
