Module,0,4,8,12,16,20
W1,0.103265113,0.371311118,0.098313156,-0.370503493,-0.359043691,-0.292233931
W2,0.091003078,0.143925859,0.138825411,-0.250055217,-0.365144146,-0.22506546
W3,-0.108708428,-0.258016855,0.037126496,0.301153783,-0.04187379,0.000652627
W4,-0.202106951,-0.3809781,-0.070770926,0.405358462,0.157225479,0.308098777
W5,-0.047181943,-0.061892765,-0.120767486,0.053076261,0.390812917,0.540909796
W6,0.035415013,0.016855779,-0.053889523,-0.31814387,0.104164766,0.403457416
W7,0.086142873,0.231640862,0.025040486,-0.404775695,-0.15098404,-0.058586766
W8,0.069628725,0.050843892,0.081657187,-0.183204773,-0.346602642,-0.37447133
W9,0.01340116,-0.154875412,0.054950866,0.001507293,-0.276703434,-0.3556388
