bin,0,4,8,12,16,20
TraesCS6A02G258600:E006,192.7333333,151.9666667,81.56666667,50.15,38.03666667,58.18333333
TraesCS6A02G258600:E008,79.27333333,56.66666667,34.66633333,23.482,19.33533333,30.852
TraesCS6A02G258600:E009,192.51,166.34,92.59633333,51.662,34.03866667,53.152
TraesCS6A02G258600:E010,61.41666667,49.18333333,27.55666667,19.44266667,15.409,24.85233333
TraesCS6A02G258600:E016,173.8666667,164,99.46666667,55.48333333,37.63,55.82666667
TraesCS6B02G266800:E005,136.7333333,115.4,54.55666667,27.59333333,21.48,34.11333333
TraesCS6B02G266800:E010,247.5466667,172.5433333,80,41.89,31.813,61.62333333
TraesCS6D02G239800:E008,148.4333333,122.4666667,67.75333333,33.11,23.44333333,42.88666667
